WKT,id,codigo,nombre,ubicacion,tipo,horario,anclajes_t
"POINT (-58.4738443002142 -34.6301089921114)","270","365",365 - Venancio Flores,"Argerich & Flores, Venancio, Gral.",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4467500618373 -34.6167588207107)","242","223",223 - GAINZA,"494 Gainza, Martin De, Gral.",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4591471941392 -34.5623955210361)","244","256",256 - PLAZA NORUEGA,Amenabar y Mendoza,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4361132320095 -34.5635386599873)","246","292",292 - PLAZA BOLIVIA,Olleros Av. & Del Libertador Av.,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"12"
"POINT (-58.46981265578 -34.5641215079603)","247","233",233 - MONROE,2519 Superi,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4493782931679 -34.633529190471)","249","222",222 - SIMON BOLIVAR,"1701 Fernandez Moreno, Baldomero",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"24"
"POINT (-58.4583145279611 -34.6137786959411)","250","350",350 - Plaza Irlanda,Av. Gaona 2200,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"24"
"POINT (-58.4350546710935 -34.6310192034927)","253","229",229 - RIGLOS,1019 Riglos,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4429507721387 -34.6404899809383)","257","333",333 - MIRO,1684 Miro,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"19"
"POINT (-58.4483127191579 -34.5598005151061)","258","255",255 - BARRANCAS DE BELGRANO,"Sucre, Antonio Jose De, Mcal. Y Vertiz Virrey Av.",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"24"
"POINT (-58.3816233191895 -34.6172481506435)","260","244",244 - UADE,Lima 750,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4520049749965 -34.5458826802649)","263","363",363 - Udaondo,1185 AV. Udaondo,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4661429869904 -34.6317060664531)","271","221",221 - CULPINA,Culpina 121,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.467418748307 -34.6605055177537)","273","309",309 - UTN II,MOZART 2391,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4157690071187 -34.6518481736553)","274","340",340 - PLAZA NUEVA POMPEYA,3817 Traful,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4842044438403 -34.5894090131002)","276","395",395 - Agronomia II,De Los Incas Av. & De Los Constituyentes Av.,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"15"
