,price,expenses,m2,rooms,bathrooms,years,address,barrio,subbarrio,note,link
4,700000,25000,200,4,5,25,Pareja 3770,Villa Devoto,,Piso 5 amb con dependencia - 2 cocheras - Villa Devoto,/departamento-en-venta-en-villa-devoto-5-ambientes--11067364
5,275000,NaN,90,3,2,0,Allende 3800,Villa Devoto,,Magnífico semi piso - 4 Ambientes - Cochera - Baulera.,/departamento-en-venta-en-villa-devoto-4-ambientes--11164481
6,199000,11000,83,3,2,40,Marcos paz al 3623,Villa Devoto,,Semi Piso 4 ambientes - Amplio Balcón terraza – Espacio guardacoches – Baulera. Villa Devoto,/departamento-en-venta-en-villa-devoto-4-ambientes--11274391
7,790000,30000,200,4,3,15,Salvador María del carril 3585,Villa Devoto,,Excelente Piso 6 Ambientes – Categoría – 2 Amplias Cocheras y baulera.,/departamento-en-venta-en-villa-devoto-6-ambientes--10569664
8,595000,15000,238,3,2,2,Sanabria 4370,Villa Devoto,,Excelente 4 Amb próximo Plaza Arenales – 2 Cocheras -Amplio balcón  y Gran Terraza propia.,/departamento-en-venta-en-villa-devoto-4-ambientes--9041081
9,200000,NaN,78,2,2,0,Ramon Lista 5126,Villa Devoto,,Oportunidad Departamento Semi Piso 3 Ambientes a estrenar - Entrega Octubre 2021,/departamento-en-venta-en-villa-devoto-3-ambientes--9041082
10,590000,25000,186,3,2,30,Joaquin V. Gonzalez al 4023,Villa Devoto,,Magnífico Piso de Categoría - 4 Ambientes con Dependencia - A 100 metros de Plaza Arenales,/departamento-en-venta-en-villa-devoto-4-ambientes--10944990
11,290000,4000,103,3,3,32,Marcos Paz al 3880,Villa Devoto,,Piso 4 ambientes - Amplio Balcón terraza - 2 cocheras cubiertas - Baulera -,/departamento-en-venta-en-villa-devoto-4-ambientes--10791584
12,190000,28000,82,2,3,40,Lincoln  3880,Villa Devoto,,Departamento 3 Amb con dependencia - Espacio guarda coche - Apto profesional -,/departamento-en-venta-en-villa-devoto-3-ambientes--10910537
13,850000,NaN,175,3,3,0,Pareja  al 3778,Villa Devoto,,Magnífico Piso de Categoría - 4 Ambientes- 2 Cocheras- Baulera - A 150 metros de Plaza Arenales.,/departamento-en-venta-en-villa-devoto-4-ambientes--10901473
14,160000,12000,50,1,1,25,Navarro al 4547,Villa Devoto,,Excelente departamento dos ambientes ubicado en zona residencial de Devoto.,/departamento-en-venta-en-villa-devoto-2-ambientes--10344215
15,498000,20000,135,3,3,16,Nueva York 4562,Villa Devoto,,Excelente Semi Piso – 4 Ambientes – Dependencias - 2 Cocheras – Luz y vista.,/departamento-en-venta-en-villa-devoto-4-ambientes--9041152
16,108000,4000,61,2,1,58,"Bombay al 2200, 4° piso",Villa Devoto,,Villa Devoto - 3 ambientes en muy buen estado,/departamento-en-venta-en-villa-devoto-3-ambientes--11070084
17,159000,12000,94,4,1,65,"Nicasio Oroño 400, Piso 5",Caballito,,Departamento en venta en Caballito,/departamento-en-venta-en-caballito-5-ambientes--11343786
18,107000,9000,45,1,1,18,Av. Dorrego 800,Villa Crespo,,Torre Categ! Piso alto! Bcn c/espec vista abta y al rio! T/ luz y sol! T/nuevo! Full Amenities! Vig!,/departamento-en-venta-en-villa-crespo-2-ambientes--8137283
19,283000,16500,105,4,2,30,"Pedro Goyena 1600, Piso 7",Caballito,,Dueño Vende Semipiso de  4 ambientes con dependencia   S/ Av. Pedro Goyena 1600 (Cochera opcional),/departamento-en-venta-en-caballito-4-ambientes--10882909
0,670000,44000,109,3,3,10,"Dragones 2200, Piso 8", Belgrano,Belgrano Chico,"VISTA AL RIO!!! ""Solares de Belgrano""RETASADO",/departamento-en-venta-en-belgrano-chico-4-ambientes--11314930
1,179000,10500,82,2,1,,"J De Amenabar 2400, Piso 1",Belgrano,,Amplio semipiso en el corazón de Belgrano: 3 ambientes y 2 patios,/departamento-en-venta-en-belgrano-3-ambientes--10142229
2,320000,25000,,2,2,,Ing Antonio Arcos 1300,Belgrano,,Departamento 3 Ambientes Arcos y Céspedes - Dueño Vende,/departamento-en-venta-en-belgrano-3-ambientes--11331467
3,195000,9000,,2,1,,Congreso 2300,Belgrano,,Departamento 3 Ambientes Congreso y Vuelta de Obligado - Dueño Vende,/departamento-en-venta-en-belgrano-3-ambientes--11331860
4,300000,18500,126,3,1,40,"Av. Santa Fe 3800, Piso 2",Palermo,,"Departamento - Venta - Argentina, Capital Federal - Av. Santa Fe 3800",/departamento-en-venta-en-palermo-4-ambientes--11318202
5,89900,NaN,32,0,1,0,"SCALABRINI ORTIZ, RAUL, AV. 1700, Piso 3",Palermo,,"Departamento - Venta - Argentina, Capital Federal - SCALABRINI ORTIZ, RAUL, AV. 1700",/departamento-en-venta-en-palermo-1-ambiente--11026592
6,165000,30000,67,2,2,42,Avenida Cerviño 3500, Palermo,Palermo Chico,VENTA DPTO 3 AMB + DEP SERV Y 2 PATIOS Palermo,/departamento-en-venta-en-palermo-chico-4-ambientes--11145223
7,139000,9600,68,3,2,40,Ugarte 2100,Belgrano,,Departamento 4 Amb 76m2 Balcón 2 baños M/L Belgrano,/departamento-en-venta-en-belgrano-4-ambientes--11285680
8,215000,9200,78,3,1,45,Pres Jose E Uriburu 1400, Barrio Norte,Recoleta,"Excelente departamento en Recoleta, muy luminoso,  piso alto, al frente.",/departamento-en-venta-en-recoleta-4-ambientes--11342729
9,139000,17000,"41,72",1,1,14,"Acevedo 600, Piso 1",Villa Crespo,,Departamento en venta en Villa Crespo,/departamento-en-venta-en-villa-crespo-2-ambientes--11337535
10,125000,NaN,51,1,1,40,"Av. Directorio 500, Piso 10",Caballito,,Departamento en venta en Caballito,/departamento-en-venta-en-caballito-2-ambientes--11102206
11,107000,9000,56,2,1,60,Av B Rivadavia 4200, Caballito,Parque Rivadavia,Dueño Directo. Caballito. 3 Amb. 56 mts. Muy Luminoso. Excelente ubicación,/departamento-en-venta-en-parque-rivadavia-3-ambientes--10894235
12,139610,NaN,52,2,1,0,"Humboldt 2300, Piso 11", Palermo,Palermo Hollywood,Oportunidad en  MOOD Humboldt,/departamento-en-venta-en-palermo-hollywood-3-ambientes--11227733
13,65000,NaN,33,1,1,,P Franco 3000,Villa Pueyrredon,,"DUEÑO DIRECTO, piso alto luminoso y ventilado",/departamento-en-venta-en-villa-pueyrredon--8469610
14,295000,25000,90,3,3,10,LAVALLE 4000,Almagro,,TORRE PALCOS Impec! Bcn c/vista abta T/luz y sol! Excel distrib! Full Amenities! Coch! Vig24! OPORT!,/departamento-en-venta-en-almagro-4-ambientes--11041931
15,75000,5000,44,1,1,65,"Martin de Gainza y Yerbal, Planta Baja",Caballito,,Martín de Gainza y Yerbal - 2 ambientes al frente Planta Baja,/departamento-en-venta-en-caballito-2-ambientes--11280012
16,125200,11100,46,1,1,0,B. Honorio Pueyrredon y Planes,Caballito,,Departamento de 2 ambientes en venta a estrenar en Caballito NORTE.,/departamento-en-venta-en-caballito-2-ambientes--9082757
17,108000,4500,44,1,1,0,"PRINGLES 600, Piso 3",Almagro,,2 AMBIENTES - A ESTRENAR - OPORTUNIDAD.-,/departamento-en-venta-en-almagro-2-ambientes--10333976
18,375000,23121,120,3,2,40,"Av Gral Las Heras 3900, Piso 9", Palermo,Botanico,Dueño vende excelente 4 ambientes con dependencia en Palermo - Botánico,/departamento-en-venta-en-botanico-4-ambientes--10739081
19,160000,NaN,123,3,2,62,Viamonte 1500, Barrio Norte,Recoleta,Venta departamento 4 Ambientes a metros del SUBTE,/departamento-en-venta-en-recoleta-4-ambientes--10059480
0,71933,NaN,46,1,1,,Juan B Justo al 4000,Villa Crespo,,Departamento 2 Ambientes con amenities muy luminoso edificio con amenities,/departamento-en-venta-en-villa-crespo-2-ambientes--8201979
1,285000,NaN,91,4,3,,"Laprida 1800, Piso 2", Barrio Norte,Recoleta,Departamento en venta en Recoleta,/departamento-en-venta-en-recoleta--11319411
2,650000,48000,229,4,2,40,ARMENIA 2400, Palermo,Botanico,"Piso de  5 ambientes y 2 cocheras en Palermo, zona Bótanico. Seg 24hs",/departamento-en-venta-en-botanico-5-ambientes--11338185
3,365000,64000,170,3,4,40,CONDE 1500, Belgrano,Belgrano R,RETASADO!! Piso exclusivo con cochera en BELGRANO R!!,/departamento-en-venta-en-belgrano-r-4-ambientes--8363171
4,105000,8900,49,2,1,30,Paraguay al 5300,Palermo,,PARAGUAY Y F ROY PALERMO VTA 3 AMB BALCON FRENTE,/departamento-en-venta-en-palermo-3-ambientes--8430077
5,219000,15000,91,2,1,50,"Ciudad De La Paz 1100, Piso 2",Belgrano,,Dueño vende en Belgrano,/departamento-en-venta-en-belgrano-3-ambientes--11290255
6,150000,17000,60,1,2,1,Av F De Olazabal 4500,Villa Urquiza,,ESPEC TORRE! T/luz y sol! Bcn c/vista abta! Suite c/vest! Toil! Full Amenities! Vig 24! Coch fija!,/departamento-en-venta-en-villa-urquiza-2-ambientes--6288704
7,418317,NaN,"115,74",3,3,,"Franklin D Roosevelt 3100, Piso 2",Belgrano,,Palacio Roccataglita,/departamento-en-venta-en-belgrano--8915542
8,198000,7000,100,3,1,40,Av. De los Incas al 4575, Villa Urquiza,Parque Chas,Departamento 4 ambientes - Parque Chas,/departamento-en-venta-en-parque-chas-4-ambientes--11338049
9,220000,29000,70,3,1,35,"Sanchez De Bustamante 1900, Piso 1", Barrio Norte,Recoleta,VENTA DEPARTAMENTO RECOLETA –  SEMIPISO AL FRENTE - 75m2,/departamento-en-venta-en-recoleta-5-ambientes--10914681
10,386900,NaN,137,3,2,0,Jose Luis Cantilo 4600,Villa Devoto,,VENTA  4 Ambientes al frente emprendimiento premium. DEVOTO,/departamento-en-venta-en-villa-devoto-4-ambientes--10988942
11,466300,NaN,179,3,3,0,Jose Luis Cantilo 4600,Villa Devoto,,VENTA 4 Ambientes super espacioso emprendimiento premium. DEVOTO,/departamento-en-venta-en-villa-devoto-4-ambientes--10988947
12,109000,2880,48,1,1,9,"Dr P I Rivera 5800, Piso 4", Villa Urquiza,Urquiza R,IMPECABLE SEMIPISO AL FRENTE CON BALCON  E IMPORTANTE BAULERA .SIN COMISION.DUEÑO DIRECTO.,/departamento-en-venta-en-urquiza-r-2-ambientes--8445539
13,96000,9500,50,2,1,50,Gral Venancio Flores 500, Caballito,Parque Rivadavia,Dueño vende Departamento de 3 ambientes en Caballito,/departamento-en-venta-en-parque-rivadavia-3-ambientes--11285710
14,65000,2945,55,1,,44,Dr. Eleodoro Lobos 500, Caballito,Caballito Norte,Venta Departamento 1 Amb y 1/2 En Caballito - Dueño Directo,/departamento-en-venta-en-caballito-norte-1-ambiente--9073182
15,101000,4000,39,1,1,,"E Echeverria 900, Piso 1", Belgrano,Belgrano Chico,Departamento en venta  Belgrano Chico  Dueño directo,/departamento-en-venta-en-belgrano-chico-2-ambientes--11312431
16,92000,5000,50,2,1,47,Franklin al 700, Caballito,Caballito Norte,Departamento - Caballito,/departamento-en-venta-en-caballito-norte-3-ambientes--9652009
17,182991,NaN,"46,60",1,1,,"Franklin D Roosevelt 3100, Piso 9",Belgrano,,Palacio Roccataglita,/departamento-en-venta-en-belgrano--8915539
18,60000,9300,38,1,1,45,Ciudad De La Paz 1300,Belgrano,,DEPTO 2 AMBIENTES - APTO PROFESIONAL - BELGRANO,/departamento-en-venta-en-belgrano-2-ambientes--11340248
19,264000,NaN,75,2,2,0,"Bauness 1900, Piso 6",Villa Urquiza,,VENTA SEMIPISO 3 AMBIENTES ESTRENAR SUITE VESTIDOR URQUIZA R,/departamento-en-venta-en-villa-urquiza-3-ambientes--7749979
0,159000,NaN,56,1,2,0,"Blanco Encalada 5200, Piso 2",Villa Urquiza,,VENTA SEMIPISO DE 2 AMBIENTES MAS ESCRITORIO A ESTRENAR,/departamento-en-venta-en-villa-urquiza-2-ambientes--11210548
1,159900,12000,70,2,1,40,Marcos Paz,Villa Devoto,,Departamento en venta en Villa Devoto dueño directo,/departamento-en-venta-en-villa-devoto-3-ambientes--11342241
2,165000,8000,58,2,1,3,Altolaguirre 2200,Villa Urquiza,,VENTA DPTO 2/3 AMB NUEVO C/ COCHERA V. URQUIZA,/departamento-en-venta-en-villa-urquiza-3-ambientes--11064416
3,229000,14800,87,2,1,15,"Achaval 400, Piso 2", Caballito,Caballito Sur,Vendo semipiso en Caballito de 3 amb. c/cochera. Impecable! Acepto permuta depto. de menor valor,/departamento-en-venta-en-caballito-sur-3-ambientes--11342918
4,330000,NaN,110,4,2,6,Nazarre al 3200,Villa del Parque,,"Departamento 4 ambientes con dependencia, 2 cocheras, balcón corrido - Villa del Parque -",/departamento-en-venta-en-villa-del-parque-5-ambientes--11327003
5,277000,NaN,94,3,2,0,Helguera 3238,Villa del Parque,,DEPARTAMENTO 4 AMBIENTES  CON BALCÓN . VILLA DEL PARQUE,/departamento-en-venta-en-villa-del-parque-4-ambientes--11139275
6,262000,4100,90,2,2,0,Tinogasta al 3060,Villa del Parque,,Departamento 3 Ambientes con Amplio Balcón Terraza -,/departamento-en-venta-en-villa-del-parque-3-ambientes--10660373
7,53000,3500,34,1,1,40,"JOAQUIN V GONZALEZ 3100, Piso 1",Villa del Parque,,DEAPARTAMENTO DE DOS AMBIENTES EN VILLA DEL PARQUE,/departamento-en-venta-en-villa-del-parque-2-ambientes--10458859
8,123000,7000,56,2,1,5,Alejandro Magariños Cervantes 2700,Villa del Parque,,Venta Departamento 3 ambientes con balcón corrido,/departamento-en-venta-en-villa-del-parque-3-ambientes--10865517
9,160000,NaN,50,2,1,45,Aguero 1900, Barrio Norte,Recoleta,DUEÑO VENDE - 3 Amb.- Lateral- en Recoleta,/departamento-en-venta-en-recoleta-3-ambientes--11282996
